"Título","Formato","Plataforma","Tema","Pilar","Data planejada","Horário de produção","Horário de postagem","Tempo estimado","Status","Prioridade","Descrição","Checklist de produção","Link de referência","Observações"
"O fluxo que todo iniciante em Power Automate deveria criar","Carrossel","Instagram","Power Automate","Power Automate","2026-06-22","20h-21h30","12h","40min","ideia","alta","Se você só for criar um fluxo, crie esse: tarefa repetitiva virando automação com aviso no final.","Roteiro|Capa gancho|Slides na arte|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#13","Plataforma padrão por formato. Semente de V1."
"Salve anexos de e-mail no SharePoint sem código","Carrossel","Instagram","Power Automate","Power Automate","2026-06-23","20h-21h30","12h","40min","ideia","alta","Seu e-mail vira pasta organizada sozinho em 4 passos.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/docs/power-automate-3-fluxos/index.html","Já tem doc companheira. Reuso em V1, R2, newsletter."
"Claude comum x Claude Code em 30s","Reel","Instagram","Claude Code","Claude Code","2026-06-23","20h-22h30","19h-21h","25min","ideia","alta","Câmera + 1 print. Chat conversa, Code AGE no projeto.","Roteiro/gancho|Gravar|Cortar/legendar|Texto na tela|CTA|Postar 19h|Responder 1a hora","planejamento/banco_reels.md#r1","Reel de câmera (fácil). Corte do C7 e V3."
"3 automações simples que economizam horas por semana","Carrossel","Instagram","IA + Automação","IA + Automação (glue)","2026-06-24","20h-21h","12h","35min","ideia","média","As 3 automações que devolvem horas toda semana.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#26","Carrossel-resumo de V1."
"Short Copa — palpite da rodada","Reel","Instagram","Inteligência Artilheira","Copa","2026-06-24","-","pós-jogo","10min","scheduled","média","Claude vs Codex: quem acerta a rodada.","Gerado pela routine|Revisar|Postar","planejamento/banco_reels.md#copa","Série Copa — routine. Sem custo novo de roteiro."
"Alerta no Teams automático em 4 passos","Carrossel","Instagram","Power Automate","Power Automate","2026-06-25","20h-21h30","12h","30min","ideia","média","Pare de avisar a equipe na mão: Power Automate posta no Teams.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#15","Reuso em R6 e V1."
"O fluxo de Power Automate que economiza 2h/semana","Reel","Instagram","Power Automate","Power Automate","2026-06-25","20h-22h30","19h-21h","45min","ideia","alta","Gravação de tela: e-mail vira pasta sozinho.","Roteiro/gancho|Gravar tela|Cortar/legendar|Texto na tela|CTA|Postar 19h|Responder 1a hora","planejamento/banco_reels.md#r2","Corte do C14 e V1."
"Tarefa manual vira fluxo: antes e depois","Carrossel","Instagram","Power Automate","Power Automate","2026-06-26","20h-21h","12h","30min","ideia","média","Antes: 40min na mão. Depois: 0. Mesmo resultado.","Roteiro|Capa antes/depois|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#17","Formato replicável. Ótimo reel."
"Short Copa — resultado da rodada","Reel","Instagram","Inteligência Artilheira","Copa","2026-06-26","-","pós-jogo","10min","scheduled","média","Quem ganhou a rodada: Claude ou Codex.","Gerado pela routine|Revisar|Postar","planejamento/banco_reels.md#copa","Série Copa — routine."
"Power Automate do zero: 3 fluxos simples pra parar de fazer trabalho manual","Vídeo longo","YouTube","Power Automate","Power Automate","2026-06-27","Tarde + 20h","Dom 10h","4-6h","ideia","alta","Mão na Massa: 3 fluxos prontos (anexos, Teams, lembrete) sem código.","Roteiro/blocos|Gravar tela|Editar|Thumb+título|Doc estudo|Doc resumo|Publicar+descrição","planejamento/banco_videos_longos.md#v1","Gravar sáb, publicar dom 28. Gera 2 docs."
